# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
14,26,0,1.07794366832531e-08,1.161962552082626e-16,1
14,27,0,0,0,0
14,28,0,0,0,0
14,29,0,1.154447248147687e-08,1.332748448755768e-16,1
14,30,0,0,0,0
14,31,0,0,0,0
14,32,0,0,0,0
14,33,0,0,0,0
14,34,0,0,0,0
14,35,0,0,0,0
14,36,0,0,0,0
14,37,0,2.045252923455708e-10,4.183059520904122e-20,1
14,38,0,0,0,0
14,39,0,0,0,0
14,40,0,0,0,0
14,41,0,0,0,0
14,42,0,0,0,0
14,43,0,0,0,0
14,44,0,0,0,0
14,45,0,0,0,0
14,46,0,0,0,0
14,47,0,0,0,0
14,48,0,0,0,0
14,49,0,0,0,0
14,50,0,0,0,0
15,0,0,1.225262984021819e-11,1.267498193099656e-22,2
15,1,0,0,0,0
15,2,0,0,0,0
15,3,0,0,0,0
15,4,0,0,0,0
15,5,0,0,0,0
15,6,0,0,0,0
15,7,0,0,0,0
15,8,0,0,0,0
15,9,0,0,0,0
15,10,0,0,0,0
15,11,0,0,0,0
15,12,0,0,0,0
15,13,0,3.630436004508357e-06,1.31800655828306e-11,1
15,14,0,2.462075133446837e-09,6.06181396273726e-18,1
15,15,0,0,0,0
15,16,0,4.154849997174667e-10,1.726277849902233e-19,1
15,17,0,5.221827640916376e-09,2.720534080208844e-17,2
15,18,0,2.339061651068711e-10,5.471209407500281e-20,1
15,19,0,0,0,0
15,20,0,0,0,0
15,21,0,0,0,0
15,22,0,1.455065437042549e-08,2.117215426075823e-16,1
15,23,0,0,0,0
15,24,0,1.25346191088788e-08,1.551367230693687e-16,2
15,25,0,8.455650201294052e-09,7.149802032664415e-17,1
15,26,0,1.120993323334146e-11,1.256626030959733e-22,1
15,27,0,0,0,0
15,28,0,1.120993323334146e-11,1.256626030959733e-22,1
15,29,0,1.26305267824693e-08,1.344543588202809e-16,2
15,30,0,2.724665228792907e-06,7.423800608993103e-12,1
15,31,0,0,0,0
15,32,0,0,0,0
15,33,0,0,0,0
15,34,0,3.702479041043105e-10,1.370835104936347e-19,1
15,35,0,0,0,0
15,36,0,0,0,0
15,37,0,0,0,0
15,38,0,0,0,0
15,39,0,0,0,0
15,40,0,0,0,0
15,41,0,0,0,0
15,42,0,0,0,0
15,43,0,0,0,0
15,44,0,0,0,0
15,45,0,0,0,0
15,46,0,3.245780656153099e-10,1.053509206785764e-19,1
15,47,0,0,0,0
15,48,0,0,0,0
15,49,0,0,0,0
15,50,0,1.120993323334146e-11,1.256626030959733e-22,1
16,0,0,1.120993323334146e-11,1.256626030959733e-22,1
16,1,0,0,0,0
16,2,0,0,0,0
16,3,0,0,0,0
16,4,0,0,0,0
16,5,0,0,0,0
16,6,0,0,0,0
16,7,0,0,0,0
16,8,0,2.42098497893132e-11,5.861168268211086e-22,1
16,9,0,1.289874106281624e-10,1.663775210055818e-20,1
16,10,0,0,0,0
16,11,0,6.782114186806204e-10,4.599707284287799e-19,1
16,12,0,1.120993323334146e-11,1.256626030959733e-22,1
16,13,0,0,0,0
16,14,0,1.518118695231717e-08,2.304684372812051e-16,1
16,15,0,2.840938786684784e-09,8.070933189690013e-18,1
16,16,0,7.320247427749339e-09,5.358602240347082e-17,1
16,17,0,0,0,0
16,18,0,0,0,0
16,19,0,0,0,0
16,20,0,7.770706817823206e-06,3.022838796047902e-11,2
16,21,0,3.071867848117112e-06,9.436372076295658e-12,1
16,22,0,3.672190421796758e-06,1.328125054822356e-11,3
16,23,0,0,0,0
16,24,0,0,0,0
16,25,0,6.909667424839737e-09,4.77435039218914e-17,1
16,26,0,1.196790420648236e-08,1.037334715323553e-16,3
16,27,0,3.215505657035733e-06,1.033796302635211e-11,2
16,28,0,9.603825341498179e-09,5.879043139677318e-17,3
16,29,0,1.154447248147687e-08,1.332748448755768e-16,1
16,30,0,1.05545625534745e-10,1.113987906952061e-20,1
16,31,0,3.531614303247344e-06,1.247229958690122e-11,1
16,32,0,0,0,0
16,33,0,0,0,0
16,34,0,1.120993323334146e-11,1.256626030959733e-22,1
16,35,0,1.583906751894212e-11,2.508760598696073e-22,1
16,36,0,0,0,0
16,37,0,0,0,0
16,38,0,0,0,0
16,39,0,0,0,0
16,40,0,0,0,0
16,41,0,0,0,0
16,42,0,0,0,0
16,43,0,8.593864019628918e-11,7.385449878787248e-21,1
16,44,0,0,0,0
16,45,0,1.168345327479592e-10,1.365030804243396e-20,1
16,46,0,0,0,0
16,47,0,0,0,0
16,48,0,0,0,0
16,49,0,0,0,0
16,50,0,0,0,0
17,0,0,0,0,0
17,1,0,0,0,0
17,2,0,0,0,0
17,3,0,0,0,0
17,4,0,0,0,0
17,5,0,0,0,0
17,6,0,0,0,0
17,7,0,0,0,0
17,8,0,0,0,0
17,9,0,0,0,0
17,10,0,0,0,0
17,11,0,0,0,0
17,12,0,0,0,0
17,13,0,0,0,0
17,14,0,1.381626977007014e-11,1.908893103593539e-22,1
17,15,0,0,0,0
17,16,0,5.983221620735703e-10,3.579894096283917e-19,1
17,17,0,0,0,0
17,18,0,0,0,0
17,19,0,0,0,0
17,20,0,2.594052208784314e-08,2.455262195781584e-16,3
17,21,0,3.256007454368663e-06,1.043376949684455e-11,5
17,22,0,3.525971993949378e-06,1.213192932603147e-11,6
17,23,0,3.040217701457398e-08,3.444799278560804e-16,3
17,24,0,3.58433127539335e-06,1.280906781044565e-11,3
17,25,0,1.204470776635962e-08,1.367344080321084e-16,2
17,26,0,4.075014089771038e-06,1.660218897249098e-11,2
17,27,0,2.998315941948082e-11,8.989898487740016e-22,1
17,28,0,3.317101064272438e-06,1.090521337354426e-11,3
17,29,0,3.046530575412597e-06,9.281348546923813e-12,1
